"","fluregion","year","week","date","cases","h1","h3","h5","h1n1","a_total","b_total","processed_samples","inf_a_prop","inf_b_prop","pop","cases_by_100k"
"1","Central America and Caribbean","2008",1,2008-01-06,4,0,0,0,0,0,4,126,0,0.0317460317460317,64546955826.5714,6.19703895989679e-06
"2","Central America and Caribbean","2008",2,2008-01-13,11,3,4,0,0,9,2,245,0.036734693877551,0.00816326530612245,64546955826.5714,1.70418571397162e-05
"3","Central America and Caribbean","2008",3,2008-01-20,14,3,7,0,0,12,2,237,0.0506329113924051,0.00843881856540084,64546955826.5714,2.16896363596387e-05
"4","Central America and Caribbean","2008",4,2008-01-27,29,3,9,0,0,28,1,340,0.0823529411764706,0.00294117647058824,64546955826.5714,4.49285324592517e-05
"5","Central America and Caribbean","2008",5,2008-02-03,20,0,3,0,0,19,1,249,0.0763052208835341,0.00401606425702811,64546955826.5714,3.09851947994839e-05
"6","Central America and Caribbean","2008",6,2008-02-10,10,1,4,0,0,10,0,143,0.0699300699300699,0,64546955826.5714,1.5492597399742e-05
"7","Central America and Caribbean","2008",7,2008-02-17,16,2,5,0,0,15,1,217,0.0691244239631336,0.00460829493087558,64546955826.5714,2.47881558395871e-05
"8","Central America and Caribbean","2008",8,2008-02-24,6,0,4,0,0,6,0,201,0.0298507462686567,0,64546955826.5714,9.29555843984518e-06
"9","Central America and Caribbean","2008",9,2008-03-02,15,0,9,0,0,11,4,215,0.0511627906976744,0.0186046511627907,64546955826.5714,2.32388960996129e-05
"10","Central America and Caribbean","2008",10,2008-03-09,10,1,5,0,0,7,3,196,0.0357142857142857,0.0153061224489796,64546955826.5714,1.5492597399742e-05
"11","Central America and Caribbean","2008",11,2008-03-16,11,0,6,0,0,8,3,194,0.0412371134020619,0.0154639175257732,64546955826.5714,1.70418571397162e-05
"12","Central America and Caribbean","2008",12,2008-03-23,3,2,0,0,0,3,0,51,0.0588235294117647,0,64546955826.5714,4.64777921992259e-06
"13","Central America and Caribbean","2008",13,2008-03-30,2,0,1,0,0,2,0,127,0.015748031496063,0,64546955826.5714,3.09851947994839e-06
"14","Central America and Caribbean","2008",14,2008-04-06,5,0,0,0,0,2,3,149,0.0134228187919463,0.0201342281879195,64546955826.5714,7.74629869987098e-06
"15","Central America and Caribbean","2008",15,2008-04-13,4,0,2,0,0,3,1,214,0.014018691588785,0.00467289719626168,64546955826.5714,6.19703895989679e-06
