"","fluregion","year","week","date","cases","h1","h3","h5","h1n1","a_total","b_total","processed_samples","inf_a_prop","inf_b_prop","pop","cases_by_100k","theta","sin_f1","cos_f1","week_2","week_3","week_4","week_5","year1","week1","date1","cases1","h11","h31","h51","h1n11","a_total1","b_total1","processed_samples1","inf_a_prop1","inf_b_prop1","pop1","cases_by_100k1","theta1","sin_f11","cos_f11","week_21","week_31","week_41","week_51","y0","y0_ul"
"1","Eastern Asia","2008",1,2008-01-06,316,163,53,0,0,218,98,701,0.310984308131241,0.139800285306705,555473623824.571,5.68883897356391e-05,0.0384615384615385,0.0384520565350657,0.999260446204204,1,1,1,1,"2008",1,2008-01-06,316,163,53,0,0,218,98,701,0.310984308131241,0.139800285306705,555473623824.571,5.68883897356391e-05,0.0384615384615385,0.0384520565350657,0.999260446204204,1,1,1,1,0.00036197832376228,0.000784616957453986
"2","Eastern Asia","2008",2,2008-01-13,738,389,74,0,0,465,273,1286,0.361586314152411,0.212286158631415,555473623824.571,0.000132859593749689,0.0769230769230769,0.0768472383413981,0.997042878696448,4,8,16,32,"2008",2,2008-01-13,738,389,74,0,0,465,273,1286,0.361586314152411,0.212286158631415,555473623824.571,0.000132859593749689,0.0769230769230769,0.0768472383413981,0.997042878696448,4,8,16,32,0.000384352936171339,0.000794715003665719
"3","Eastern Asia","2008",3,2008-01-20,726,391,72,0,0,468,258,1024,0.45703125,0.251953125,555473623824.571,0.000130699275152133,0.115384615384615,0.115128754814107,0.993350577497669,9,27,81,243,"2008",3,2008-01-20,726,391,72,0,0,468,258,1024,0.45703125,0.251953125,555473623824.571,0.000130699275152133,0.115384615384615,0.115128754814107,0.993350577497669,9,27,81,243,0.000399946926903816,0.000808521139948834
"4","Eastern Asia","2008",4,2008-01-27,876,506,67,0,0,581,295,948,0.612869198312236,0.311181434599156,555473623824.571,0.000157703257621582,0.153846153846154,0.153239983471559,0.988189003918601,16,64,256,1024,"2008",4,2008-01-27,876,506,67,0,0,581,295,948,0.612869198312236,0.311181434599156,555473623824.571,0.000157703257621582,0.153846153846154,0.153239983471559,0.988189003918601,16,64,256,1024,0.000407683921716639,0.000816366678253243
"5","Eastern Asia","2008",5,2008-02-03,868,433,76,0,0,520,348,711,0.731364275668073,0.489451476793249,555473623824.571,0.000156263045223211,0.192307692307692,0.191124553706123,0.981565792481908,25,125,625,3125,"2008",5,2008-02-03,868,433,76,0,0,520,348,711,0.731364275668073,0.489451476793249,555473623824.571,0.000156263045223211,0.192307692307692,0.191124553706123,0.981565792481908,25,125,625,3125,0.000407209626045457,0.00081556563676295
"6","Eastern Asia","2008",6,2008-02-10,603,297,37,0,0,339,264,320,1.059375,0.825,555473623824.571,0.000108556009527185,0.230769230769231,0.228726430162361,0.973490739629907,36,216,1296,7776,"2008",6,2008-02-10,603,297,37,0,0,339,264,320,1.059375,0.825,555473623824.571,0.000108556009527185,0.230769230769231,0.228726430162361,0.973490739629907,36,216,1296,7776,0.000398745987206794,0.000806334509593342
"7","Eastern Asia","2008",7,2008-02-17,863,237,73,0,0,325,538,578,0.562283737024221,0.930795847750865,555473623824.571,0.00015536291247423,0.269230769230769,0.265989995619348,0.963975789234574,49,343,2401,16807,"2008",7,2008-02-17,863,237,73,0,0,325,538,578,0.562283737024221,0.930795847750865,555473623824.571,0.00015536291247423,0.269230769230769,0.265989995619348,0.963975789234574,49,343,2401,16807,0.000382959815634187,0.000789803380888061
"8","Eastern Asia","2008",8,2008-02-24,1134,291,135,0,0,435,699,1033,0.421103581800581,0.676669893514037,555473623824.571,0.000204150107469034,0.307692307692308,0.302860133254526,0.953035014931273,64,512,4096,32768,"2008",8,2008-02-24,1134,291,135,0,0,435,699,1033,0.421103581800581,0.676669893514037,555473623824.571,0.000204150107469034,0.307692307692308,0.302860133254526,0.953035014931273,64,512,4096,32768,0.000360845365782403,0.000767250016685054
"9","Eastern Asia","2008",9,2008-03-02,948,191,108,0,0,313,635,968,0.323347107438017,0.65599173553719,555473623824.571,0.000170665169206917,0.346153846153846,0.339282308167417,0.940684599302333,81,729,6561,59049,"2008",9,2008-03-02,948,191,108,0,0,313,635,968,0.323347107438017,0.65599173553719,555473623824.571,0.000170665169206917,0.346153846153846,0.339282308167417,0.940684599302333,81,729,6561,59049,0.000333620356729014,0.000739906390357072
"10","Eastern Asia","2008",10,2008-03-09,903,190,183,0,0,393,510,1316,0.298632218844985,0.387537993920973,555473623824.571,0.000162563974466083,0.384615384615385,0.375202648042604,0.92694280994127,100,1000,10000,1e+05,"2008",10,2008-03-09,903,190,183,0,0,393,510,1316,0.298632218844985,0.387537993920973,555473623824.571,0.000162563974466083,0.384615384615385,0.375202648042604,0.92694280994127,100,1000,10000,1e+05,0.000302634892575426,0.00070897935688631
"11","Eastern Asia","2008",11,2008-03-16,977,189,195,0,0,401,576,1321,0.303557910673732,0.436033308099924,555473623824.571,0.000175885939151011,0.423076923076923,0.410568022832686,0.911829972433052,121,1331,14641,161051,"2008",11,2008-03-16,977,189,195,0,0,401,576,1321,0.303557910673732,0.436033308099924,555473623824.571,0.000175885939151011,0.423076923076923,0.410568022832686,0.911829972433052,121,1331,14641,161051,0.000269292723706016,0.000675705673454687
"12","Eastern Asia","2008",12,2008-03-23,839,160,235,0,0,407,432,1119,0.363717605004468,0.386058981233244,555473623824.571,0.000151042275279118,0.461538461538462,0.44532612334333,0.895368440290365,144,1728,20736,248832,"2008",12,2008-03-23,839,160,235,0,0,407,432,1119,0.363717605004468,0.386058981233244,555473623824.571,0.000151042275279118,0.461538461538462,0.44532612334333,0.895368440290365,144,1728,20736,248832,0.000234984271703098,0.000641369142888761
"13","Eastern Asia","2008",13,2008-03-30,584,86,207,0,0,305,279,799,0.381727158948686,0.34918648310388,555473623824.571,0.000105135505081055,0.5,0.479425538604203,0.877582561890373,169,2197,28561,371293,"2008",13,2008-03-30,584,86,207,0,0,305,279,799,0.381727158948686,0.34918648310388,555473623824.571,0.000105135505081055,0.5,0.479425538604203,0.877582561890373,169,2197,28561,371293,0.000201030823293813,0.000607268934729148
"14","Eastern Asia","2008",14,2008-04-06,398,37,210,0,0,252,146,671,0.375558867362146,0.217585692995529,555473623824.571,7.16505668189378e-05,0.538461538461538,0.512815831911323,0.858498644460839,196,2744,38416,537824,"2008",14,2008-04-06,398,37,210,0,0,252,146,671,0.375558867362146,0.217585692995529,555473623824.571,7.16505668189378e-05,0.538461538461538,0.512815831911323,0.858498644460839,196,2744,38416,537824,0.000168639282218663,0.000574655789633227
"15","Eastern Asia","2008",15,2008-04-13,219,18,129,0,0,154,65,170,0.905882352941176,0.382352941176471,555473623824.571,3.94258144053954e-05,0.576923076923077,0.545447615428374,0.838144915168911,225,3375,50625,759375,"2008",15,2008-04-13,219,18,129,0,0,154,65,170,0.905882352941176,0.382352941176471,555473623824.571,3.94258144053954e-05,0.576923076923077,0.545447615428374,0.838144915168911,225,3375,50625,759375,0.000138866852271491,0.000544659274776875
"16","Eastern Asia","2008",16,2008-04-20,216,20,125,0,0,149,67,60,2.48333333333333,1.11666666666667,555473623824.571,3.88857347560065e-05,0.615384615384615,0.577272623236629,0.816551479370102,256,4096,65536,1048576,"2008",16,2008-04-20,216,20,125,0,0,149,67,60,2.48333333333333,1.11666666666667,555473623824.571,3.88857347560065e-05,0.615384615384615,0.577272623236629,0.816551479370102,256,4096,65536,1048576,0.000112595010080874,0.000518225227927221
"17","Eastern Asia","2008",17,2008-04-27,165,17,82,0,0,110,55,98,1.12244897959184,0.561224489795918,555473623824.571,2.97043807163938e-05,0.653846153846154,0.608243782725435,0.79375027607923,289,4913,83521,1419857,"2008",17,2008-04-27,165,17,82,0,0,110,55,98,1.12244897959184,0.561224489795918,555473623824.571,2.97043807163938e-05,0.653846153846154,0.608243782725435,0.79375027607923,289,4913,83521,1419857,9.05121124441521e-05,0.000496074773312531
"18","Eastern Asia","2008",18,2008-05-04,101,9,65,0,0,75,26,113,0.663716814159292,0.230088495575221,555473623824.571,1.8182681529429e-05,0.692307692307692,0.638315284217674,0.76977503072918,324,5832,104976,1889568,"2008",18,2008-05-04,101,9,65,0,0,75,26,113,0.663716814159292,0.230088495575221,555473623824.571,1.8182681529429e-05,0.692307692307692,0.638315284217674,0.76977503072918,324,5832,104976,1889568,7.3103970301247e-05,0.000478688330335585
"19","Eastern Asia","2008",19,2008-05-11,61,8,30,0,0,42,19,84,0.5,0.226190476190476,555473623824.571,1.09816195375759e-05,0.730769230769231,0.667442648727196,0.744661205287361,361,6859,130321,2476099,"2008",19,2008-05-11,61,8,30,0,0,42,19,84,0.5,0.226190476190476,555473623824.571,1.09816195375759e-05,0.730769230769231,0.667442648727196,0.744661205287361,361,6859,130321,2476099,6.06517095880221e-05,0.000466311674826874
"20","Eastern Asia","2008",20,2008-05-18,48,3,26,0,0,34,14,84,0.404761904761905,0.166666666666667,555473623824.571,8.64127439022366e-06,0.769230769230769,0.695582793748033,0.718445945803636,400,8000,160000,3200000,"2008",20,2008-05-18,48,3,26,0,0,34,14,84,0.404761904761905,0.166666666666667,555473623824.571,8.64127439022366e-06,0.769230769230769,0.695582793748033,0.718445945803636,400,8000,160000,3200000,5.32362284819676e-05,0.000458977287350763
"21","Eastern Asia","2008",21,2008-05-25,83,8,55,0,0,66,17,61,1.08196721311475,0.278688524590164,555473623824.571,1.49422036330951e-05,0.807692307692308,0.722694096978056,0.691168027467324,441,9261,194481,4084101,"2008",21,2008-05-25,83,8,55,0,0,66,17,61,1.08196721311475,0.278688524590164,555473623824.571,1.49422036330951e-05,0.807692307692308,0.722694096978056,0.691168027467324,441,9261,194481,4084101,5.0748550769697e-05,0.000456533131790621
